,transition_ts,category,idea_id,booking_request_id,to_state,space_id,country,city,portfolio_type,floor_size,floor_size_unit,start_on,end_on,price
135,2018-08-15 19:35:22.412,private_event,35,152333,submitted,5311,US,New York,3.0,3200,0,2018-09-11 00:00:00,2018-09-11 00:00:00,168000
136,2018-08-16 13:22:24.864,private_event,35,152333,matched,5311,US,New York,3.0,3200,0,2018-09-11 00:00:00,2018-09-11 00:00:00,168000
137,2018-08-21 17:31:59.659,private_event,35,152333,booked,5311,US,New York,3.0,3200,0,2018-09-11 00:00:00,2018-09-11 00:00:00,168000
138,2018-04-23 16:21:47.588,popup_shop,36,132290,declined,166,GB,London,8.0,1776,0,2018-11-04 00:00:00,2018-11-11 00:00:00,1048800
139,2018-04-22 13:27:29.552,popup_shop,36,132290,submitted,166,GB,London,8.0,1776,0,2018-11-04 00:00:00,2018-11-11 00:00:00,1048800
140,2018-04-22 13:27:29.341,popup_shop,36,132287,submitted,960,GB,London,8.0,958,0,2018-11-04 00:00:00,2018-11-11 00:00:00,2850000
141,2018-04-23 16:22:15.864,popup_shop,36,132287,declined,960,GB,London,8.0,958,0,2018-11-04 00:00:00,2018-11-11 00:00:00,2850000
142,2018-04-22 13:27:29.412,popup_shop,36,132288,submitted,3294,GB,London,3.0,2100,0,2018-11-04 00:00:00,2018-11-11 00:00:00,684000
143,2018-04-23 16:21:59.017,popup_shop,36,132288,declined,3294,GB,London,3.0,2100,0,2018-11-04 00:00:00,2018-11-11 00:00:00,684000
144,2018-04-25 05:46:22.049,popup_shop,36,132636,submitted,3294,GB,London,3.0,2100,0,2018-11-04 00:00:00,2018-11-11 00:00:00,684000
145,2018-04-26 08:12:27.487,popup_shop,36,132636,declined,3294,GB,London,3.0,2100,0,2018-11-04 00:00:00,2018-11-11 00:00:00,684000
146,2018-04-22 13:27:29.766,popup_shop,36,132293,submitted,3178,GB,London,3.0,700,0,2018-11-04 00:00:00,2018-11-11 00:00:00,193800
147,2018-04-23 16:21:41.982,popup_shop,36,132293,declined,3178,GB,London,3.0,700,0,2018-11-04 00:00:00,2018-11-11 00:00:00,193800
148,2018-04-22 13:27:29.271,popup_shop,36,132286,submitted,4961,GB,London,8.0,1000,0,2018-11-04 00:00:00,2018-11-11 00:00:00,800000
149,2018-04-23 16:22:36.288,popup_shop,36,132286,declined,4961,GB,London,8.0,1000,0,2018-11-04 00:00:00,2018-11-11 00:00:00,800000
150,2018-04-22 13:27:29.695,popup_shop,36,132292,submitted,5507,GB,London,3.0,780,0,2018-11-04 00:00:00,2018-11-18 00:00:00,310300
151,2018-04-23 10:40:11.303,popup_shop,36,132292,declined,5507,GB,London,3.0,780,0,2018-11-04 00:00:00,2018-11-18 00:00:00,310300
152,2018-04-23 16:22:21.389,popup_shop,36,132280,declined,5594,GB,London,8.0,3944,0,2018-11-04 00:00:00,2018-11-11 00:00:00,4668300
153,2018-04-22 13:27:28.849,popup_shop,36,132280,submitted,5594,GB,London,8.0,3944,0,2018-11-04 00:00:00,2018-11-11 00:00:00,4668300
154,2018-05-03 11:15:35.934,popup_shop,36,132641,declined,5594,GB,London,8.0,3944,0,2018-11-04 00:00:00,2018-11-11 00:00:00,4668300
155,2018-04-24 17:57:50.762,popup_shop,36,132641,submitted,5594,GB,London,8.0,3944,0,2018-11-04 00:00:00,2018-11-11 00:00:00,4668300
156,2018-04-26 08:52:59.920,popup_shop,36,132641,matched,5594,GB,London,8.0,3944,0,2018-11-04 00:00:00,2018-11-11 00:00:00,4668300
157,2018-04-22 13:27:29.483,popup_shop,36,132289,submitted,5926,GB,London ,3.0,1500,0,2018-11-04 00:00:00,2018-11-18 00:00:00,620600
158,2018-04-23 16:22:04.713,popup_shop,36,132289,declined,5926,GB,London ,3.0,1500,0,2018-11-04 00:00:00,2018-11-18 00:00:00,620600
159,2018-04-23 10:45:07.969,popup_shop,36,132279,declined,4723,GB,London,8.0,800,0,2018-11-04 00:00:00,2018-11-11 00:00:00,331968
160,2018-04-22 13:27:28.779,popup_shop,36,132279,submitted,4723,GB,London,8.0,800,0,2018-11-04 00:00:00,2018-11-11 00:00:00,331968
161,2018-04-23 16:21:53.354,popup_shop,36,132291,declined,212,GB,London,8.0,1200,0,2018-11-04 00:00:00,2018-11-11 00:00:00,472000
162,2018-04-22 13:27:29.624,popup_shop,36,132291,submitted,212,GB,London,8.0,1200,0,2018-11-04 00:00:00,2018-11-11 00:00:00,472000
163,2018-04-22 13:27:29.063,popup_shop,36,132283,submitted,2551,GB,London,3.0,500,0,2018-11-04 00:00:00,2019-02-10 00:00:00,4928410
164,2018-04-23 16:22:29.330,popup_shop,36,132283,declined,2551,GB,London,3.0,500,0,2018-11-04 00:00:00,2019-02-10 00:00:00,4928410
165,2018-04-22 13:27:29.200,popup_shop,36,132285,submitted,2073,GB,London,8.0,1800,0,2018-11-04 00:00:00,2018-11-11 00:00:00,1140000
166,2018-04-23 16:22:09.919,popup_shop,36,132285,declined,2073,GB,London,8.0,1800,0,2018-11-04 00:00:00,2018-11-11 00:00:00,1140000
167,2018-04-23 10:44:53.977,popup_shop,36,132282,declined,4625,GB,London,8.0,2000,0,2018-11-04 00:00:00,2018-11-11 00:00:00,965580
168,2018-04-22 13:27:28.993,popup_shop,36,132282,submitted,4625,GB,London,8.0,2000,0,2018-11-04 00:00:00,2018-11-11 00:00:00,965580
169,2018-04-23 16:22:41.851,popup_shop,36,132281,declined,5803,GB,London,3.0,500,0,2018-11-04 00:00:00,2018-11-18 00:00:00,214000
170,2018-04-22 13:27:28.920,popup_shop,36,132281,submitted,5803,GB,London,3.0,500,0,2018-11-04 00:00:00,2018-11-18 00:00:00,214000
171,2018-04-22 13:27:29.132,popup_shop,36,132284,submitted,2796,GB,London,3.0,1600,0,2018-11-04 00:00:00,2018-11-11 00:00:00,96900
172,2018-04-23 16:18:02.332,popup_shop,36,132284,declined,2796,GB,London,3.0,1600,0,2018-11-04 00:00:00,2018-11-11 00:00:00,96900
173,2018-06-20 09:20:39.732,popup_shop,37,143088,submitted,6239,GB,London,4.0,30,0,2018-06-24 00:00:00,2018-06-24 00:00:00,1500
174,2018-07-10 12:45:06.767,popup_shop,37,143088,declined,6239,GB,London,4.0,30,0,2018-06-24 00:00:00,2018-06-24 00:00:00,1500
175,2018-07-10 12:45:02.328,popup_shop,37,143091,declined,3265,GB,London,4.0,300,0,2018-06-30 00:00:00,2018-06-30 00:00:00,8000
176,2018-06-20 09:25:42.280,popup_shop,37,143091,submitted,3265,GB,London,4.0,300,0,2018-06-30 00:00:00,2018-06-30 00:00:00,8000
