,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
2157,159459.0,declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,4.0,7.746958912037037,3j_15j,3_5
2158,159458.0,submitted / matched / declined,declined,GB,London,london,1.0,4.0,inf_20,100k_200k,6.0,0.02451334490740741,10s_1h,5_7
2159,159457.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,1.0,0.024592592592592593,10s_1h,inf_3
2160,159492.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,50k_100k,8.0,0.042564386574074076,1h_1j,7_10
2163,121969.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,20_40,50k_100k,2.0,1.099537037037037e-06,less_10s,inf_3
2164,134364.0,submitted / matched / booked,booked,FR,Paris,paris,1.0,3.0,100_200,50k_100k,1.0,0.011063032407407407,10s_1h,inf_3
2171,127485.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,10k_50k,2.0,0.0367387962962963,10s_1h,inf_3
2175,127285.0,submitted / matched / declined,declined,GB,Birkenhead,birkenhead,0.0,5.0,inf_20,200k_500k,213.0,9.143518518518518e-07,less_10s,sup_30
2176,112970.0,submitted / matched / declined,declined,US,New York,new york,1.0,8.0,100_200,200k_500k,6.0,1.400462962962963e-06,less_10s,5_7
2178,122692.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,1.0,1.099537037037037e-06,less_10s,inf_3
2179,122834.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,1.0,0.24219601851851852,1h_1j,inf_3
2180,151916.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,100k_200k,31.0,158.89236644675927,sup_15j,sup_30
2181,122821.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,2.0,0.24700231481481483,1h_1j,inf_3
2182,160359.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,50k_100k,14.0,1.1226851851851851e-06,less_10s,10_15
2183,155101.0,submitted / declined,declined,GB,London,london,1.0,0.0,inf_20,sup_5millions,1096.0,8.217592592592592e-07,less_10s,sup_30
2184,155263.0,declined,declined,GB,London,london,1.0,3.0,sup_200,1_5millions,13.0,17.94654603009259,sup_15j,10_15
2185,155264.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,100_200,500k_1millions,13.0,18.226572094907407,sup_15j,10_15
2186,152779.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,100_200,500k_1millions,13.0,1.0438664351851852,1j_3j,10_15
2187,152781.0,declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,7.0,17.946710185185186,sup_15j,7_10
2188,177752.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,40_60,1_5millions,14.0,207.20436309027778,sup_15j,10_15
2189,177421.0,declined / submitted / declined,declined,GB,London,london,1.0,3.0,100_200,1_5millions,13.0,206.1006064699074,sup_15j,10_15
2190,136209.0,submitted,submitted,GB,London,london,1.0,3.0,20_40,100k_200k,14.0,1.1008052893518518,1j_3j,10_15
2191,177419.0,submitted / declined,declined,GB,London,london,1.0,7.0,100_200,200k_500k,5.0,206.0992442824074,sup_15j,5_7
