,id,city,space_id,idea_id,start_on,end_on,price_pounds
11598,119257,London,735,2234,2018-07-11 00:00:00,2018-07-12 00:00:00,200000
11626,149289,London,6434,2245,2018-09-29 00:00:00,2018-09-29 00:00:00,1500
11637,140772,New York,6175,2250,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
11792,182047,London,3090,2283,2019-01-20 00:00:00,2019-01-22 00:00:00,40800
11918,113328,London,2797,2310,2018-03-24 00:00:00,2018-03-25 00:00:00,25714
11948,176966,London,6940,2326,2018-12-08 00:00:00,2018-12-23 00:00:00,230000
11956,149014,London,6264,2329,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
11963,168858,London,6713,2329,2018-11-11 00:00:00,2018-12-23 00:00:00,193500
12013,117961,London,3275,2337,2018-03-15 00:00:00,2018-03-21 00:00:00,60000
12016,126091,London,3275,2337,2018-03-22 00:00:00,2018-03-25 00:00:00,34284
12099,112599,London,5059,2353,2018-02-01 00:00:00,2018-04-01 00:00:00,36400
12344,126572,London,2575,2393,2018-05-23 00:00:00,2018-06-14 00:00:00,449085
12401,143617,London,3091,2393,2018-09-23 00:00:00,2018-10-08 00:00:00,916000
12439,122622,New York,4981,2402,2018-06-22 00:00:00,2018-06-28 00:00:00,250000
12507,123157,London,369,2418,2018-07-09 00:00:00,2018-07-15 00:00:00,105000
12510,141108,London,369,2418,2018-09-10 00:00:00,2018-09-23 00:00:00,210000
12542,148714,Paris,5393,2426,2018-09-25 00:00:00,2018-10-03 00:00:00,1032000
12545,155054,Paris,5393,2426,2019-01-20 00:00:00,2019-01-25 00:00:00,900000
12709,135441,New York,4688,2464,2018-07-08 00:00:00,2018-07-26 00:00:00,1084000
12721,140768,New York,6175,2465,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
12726,149676,Paris,3641,2467,2018-09-07 00:00:00,2018-09-10 00:00:00,180000
12745,118338,London,67,2471,2018-02-28 00:00:00,2018-02-28 00:00:00,690000
12790,131911,Leeds,4301,2476,2018-08-10 00:00:00,2018-08-12 00:00:00,39999
12819,182073,Marseille,5666,2480,2019-01-25 00:00:00,2019-01-27 00:00:00,150000
12825,172535,Paris,5728,2480,2018-12-07 00:00:00,2018-12-09 00:00:00,375000
12968,120124,London,4336,2504,2018-03-08 00:00:00,2018-03-08 00:00:00,18500
12977,175078,London,6815,2506,2018-11-30 00:00:00,2018-11-30 00:00:00,1500
12980,175077,London,6816,2506,2018-12-01 00:00:00,2018-12-01 00:00:00,1500
13000,134977,London,3330,2507,2018-07-02 00:00:00,2018-10-10 00:00:00,2548000
13044,125008,London,715,2507,2018-04-26 00:00:00,2018-04-29 00:00:00,400000
13126,156418,Brooklyn,6298,2516,2018-09-15 00:00:00,2018-09-16 00:00:00,25000
13164,148062,Manchester,6341,2528,2018-08-13 00:00:00,2018-08-26 00:00:00,42000
13189,124516,London,5565,2536,2018-04-15 00:00:00,2018-04-15 00:00:00,15000
13200,151396,Paris,4402,2538,2018-09-27 00:00:00,2018-10-03 00:00:00,165000
13230,121375,London,61,2543,2018-08-13 00:00:00,2018-08-19 00:00:00,100000
13301,165990,London,4912,2559,2018-12-17 00:00:00,2018-12-18 00:00:00,12000
13400,122023,London,327,2577,2018-03-26 00:00:00,2018-04-08 00:00:00,140000
13403,126438,London,327,2577,2018-04-09 00:00:00,2018-04-22 00:00:00,140000
